name,org_name,starts_on,ends_on,location,categories,theme,description
Competing To Get A Job: How to Sell Your Athletic Experience to Prospective Employers,Malone Center for Career Engagement,2018-10-30T00:00:00+00:00,2018-10-30T01:00:00+00:00,"Thirsty Paladin, Timmons Arena",,ThoughtfulLearning,Come and learn how to use your athletic experience for the best when on the job search.
Council Meeting,Student Government Association,2018-10-29T22:00:00+00:00,2018-10-29T23:00:00+00:00,Thomas Room,,CommunityService,Weekly SGA Council meeting- anyone is welcome to attend!
Save Our Saluda River Sweep,Furman University Outdoor Club,2018-10-27T12:30:00+00:00,2018-10-27T16:00:00+00:00,Spinx / Burger King,,CommunityService,"River sweepers will meet at the Burger King/Spinx in Marietta (15-20 min north of FU) at 8:30am, then break into groups to clean different sites. Some groups may finish before this, but any group still working at noon will call it quits. One of the SOS board members has a cabin by one of the clean-up sites and is doing lunch for anyone who wants to come. If you are thinking about coming, please email clayton.burton@furman.edu for carpooling planning, etc. Saluda River Clean Up!: This is a great opportunity to get some service hours while enjoying a hike in the great outdoors. The Saluda River Cleanup is an annual event that FUOC always participates in. Email our advisor clayton.burton@furman.edu or our Treasurer David.lewis@furman.edu for more info!"
Movie Night: Hocus Pocus,Office of Student Involvement and Inclusion,2018-10-27T00:00:00+00:00,2018-10-27T02:00:00+00:00,Trone Student Center Front Patio and Burgiss Theater as Rain Location,,Social,"Join OSII for our Halloween Themed Movie Night! We will be watching Hocus Pocus on the Trone Front Patio at 8 p.m. on October 26. Bring a blanket and come enjoy some friendly spooks. We promise not to put a spell on you and why be afraid ""It's just a bunch of hocus pocus!"" ""A curious youngster moves to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century."""
"CLP: An African- American Journey through Racism, Religion, and Reconciliation",Muslim Student Association,2018-10-25T23:00:00+00:00,2018-10-26T01:00:00+00:00,Patrick Lecture Hall,CLP,Spirituality,"CLP lecture by Imam Omar Shaheed. He goes into details about his life, and the obstacles he had to face as a Black Muslim. He almost has the same journey as Muhammad Ali and Malcolm X and how they found Islam and then converted. He is currently now an Imam at Masjid As-Salam in Columbia, SC"
Conversations Dinner,Cothran Center for Vocational Reflection,2018-10-25T21:30:00+00:00,2018-10-25T23:00:00+00:00,Trustees Dining Room - Dining Hall,,ThoughtfulLearning,"Rescheduled! Dr. Kennedy and Dr. Khandke will share their vocational stories at this free dinner event open to all students, faculty, and staff."
Dance & Dine with FUSAB!,Furman University Student Activities Board,2018-10-24T21:45:00+00:00,2018-10-25T01:00:00+00:00,Carolina Ballroom Studio,,Social,Learn how to swing dance! Come attend a swing dancing class with a 4-course dinner at the Melting Pot to follow! Sign up in the FUSAB office during our office hours for $20/pair: Office hours Monday: 1-4 pm Tuesday and Thursday: 11:30am-2:30pm Bring your student ID to sign up!
Spa Escape Raffle,Furman University Student Activities Board,2018-04-09T23:30:00+00:00,2018-04-10T00:30:00+00:00,Pden,,Social,Join FUSAB for a raffle in the pden on April 9th at 7:30 for a chance to win a pair of tickets ($30) to go to the River Falls Spa in downtown Greenville. The spa event takes place at 4 pm on April 20th.
Derby Days Field Day,"Sigma Chi, Iota Nu Chapter",2018-04-09T19:00:00+00:00,2018-04-09T21:00:00+00:00,Upper North Village Soccer Field,,Fundraising,"Hosting various field day activities such as one leg race, balloon toss, egg walk, tug of war, and sack race. Five dollar admission. All proceeds go to benefiting the Huntsman Cancer Institute"
Mountain Biking,Furman University Outdoor Club,2018-04-07T16:00:00+00:00,2018-04-07T17:00:00+00:00,tbd,,Athletics,details to come
Holi Festival (CLP),Furman University Outdoor Club,2018-04-06T16:00:00+00:00,2018-04-06T17:00:00+00:00,not sure,CLP,Cultural,"Not sure on time, location, or activities."
FUSAB Spring Concert: Snakehips & Wes Walker,Furman University Student Activities Board,2018-04-05T23:00:00+00:00,2018-04-06T01:30:00+00:00,Furman Amphitheater,,Social,"Come to the amphitheater on April 5th to join FUSAB for the spring concert! The opener is Wes Walker and the main performer is Snakehips! There will also be a beer garden for those 21+. Tickets are $5 and can be purchased with a student ID in the FUSAB office on Mondays from 1-4 pm, on Tuesdays/Thursdays from 11:30-2:30, or on Wednesdays from 10:30-3:30. Doors open at 7 pm! Show begins at 7:30."
FUSAB Spring Concert Ticket Sales End,Furman University Student Activities Board,2018-04-05T23:00:00+00:00,2018-04-06T00:00:00+00:00,Various,,Social,Ticket sales for FUSAB Spring Concert.
Resume Drop-In Hours,Malone Center for Career Engagement,2018-04-05T15:00:00+00:00,2018-04-05T17:00:00+00:00,Trone Student Center,,CommunityService,The Malone Center for Career Engagement will be hosting drop-in hours on Wednesdays & Thursdays from 11-1pm. Stop by the Trone atrium for additional resume feedback and guidance!
Drive-In Movie,Furman University Student Activities Board,2018-04-04T23:30:00+00:00,2018-04-05T02:00:00+00:00,E Field,,Social,Come join FUSAB for a Drive-In Movie and snacks!
Resume Drop-In Hours,Malone Center for Career Engagement,2018-04-04T15:00:00+00:00,2018-04-04T17:00:00+00:00,Trone Student Center,,CommunityService,The Malone Center for Career Engagement will be hosting drop-in hours on Wednesdays & Thursdays from 11-1pm. Stop by the Trone atrium for additional resume feedback and guidance!
Student Applications for Faculty Standing Committer Are Due,Faculty Standing Committees,2018-03-30T04:00:00+00:00,2018-03-31T03:59:00+00:00,Apply Online,,CommunityService,Applications to serve on the Faculty Standing Committee are due today. Appy using this link: https://furman.campuslabs.com/engage/submitter/form/start/156044
Futones Spring Concert,Furman University FUtones,2017-04-23T19:00:00+00:00,2017-04-23T20:00:00+00:00,"Harper Hall, Daniel Music Building",,Unknown,FUtones Spring Concert[1].pdf Click to View
Trip to Carowinds,Furman University Student Activities Board,2017-04-21T21:00:00+00:00,2017-04-22T03:45:00+00:00,No location specified,,Unknown,**DATES AND TIMES FOR THIS EVENT ARE TENTATIVE Enter to win tickets and fast passes to Carowinds up in Charlotte!
FUOC Formal,Furman University Outdoor Club,2017-04-21T04:00:00+00:00,2017-04-21T04:00:00+00:00,No location specified,,Unknown,"As the end of the year approaches, we have one big event still on our minds. FUOC FORMAL! The date has been changed! Our outdoor, chilling, grilling, dancing, hanging extraordinaire will now be on Friday April 21st. The event will be held off campus at one of our recent alumni's barn style house. Make your way to the rabbit hole at 5:00pm and we will caravan over to the location. Bring spike ball, footballs, or anything you might want to play There will be burgers and veggie burgers, fruit, chips, and smores. Also, we have teamed up with NGU again, so be expecting to meet some new friends or run into people you met at Rabbit Fest in the fall! The group will be leaving to head back to Furman at 9:00pm. If you can't make it for the entire event, no worries! Email kathleen.marsh@furman.edu and she will send you the address. If you plan on coming - even for just a bit - RSVP on the google doc below. https://docs.google.com/spreadsheets/d/14DFjG9A3ite5oQxPwZrhDhFsgCoPyoNliVb5gTsTbvw/edit?usp=sharing Please keep in mind that this is an event, just like every event, is for FUOC members. Some of y'all who get the weekly email have not yet submitted $10 and signed the waiver. This does not mean that we don't want you at Formal! It just means that on the RSVP sheet, you need to type ""no"" under member status and bring $10 with you on April 21st. FUOC philosophy is one centered around inclusion, but as an official Furman SGA sponsored club, we need to hold certain standards."
Hike Mount Mitchell,Furman University Outdoor Club,2017-04-08T04:00:00+00:00,2017-04-08T04:00:00+00:00,No location specified,,Unknown,contacts: Julia Britt & Susie Wold
Ritmo Latino,Hispanic Outreach and Latinx Awareness,2017-04-05T22:00:00+00:00,2017-04-05T23:00:00+00:00,McAlister Auditorium,,Unknown,"This event is a dance workshop led by Cesar Jaramillo and Bryan Rodriguez. There will be a mix of the dance styles of bachata, salsa and merengue. The workshop will be after the performance and the performers/dance instructors will teach students dance steps, vocabulary, and phrases used during performances and dances. The students will also be able to see different Latin cultures represented. There will be dances from the Dominican Republic, Cuba, Puerto Rico, and Colombia. After the performance, students will be able to interact with the professional dancers. Students will learn dance steps and have the opportunity to practice Spanish."
Flatwater paddle on Lake Jocassee,Furman University Outdoor Club,2017-03-31T04:00:00+00:00,2017-04-01T04:00:00+00:00,No location specified,,Unknown,
SPRING CONCERT!,Furman University Student Activities Board,2017-03-31T00:00:00+00:00,2017-03-31T03:00:00+00:00,Timmons Arena,,Unknown,FUSAB's annual Spring Concert! Look for an announcement early in the spring semester and stay tuned for more details!
Intro to Whitewater Kayaking,Furman University Outdoor Club,2017-03-26T13:00:00+00:00,2017-03-26T21:00:00+00:00,Lower Green,,Unknown,"There are limited spots. To RSVP: email Clayton.Burton*at*Furman with your ph# If you have questions or need help finding the Rabbit Hole, call Clayton at 386-7582 Everyone is welcome! First time FUOCers, first time paddlers, old pro's at both! Come alone or with friends! The Lower Green is a perfect place to paddle whitewater for the first time. This trip will be good for all levels of paddlers. We'll start the day playing some games and learning basic, essential skills. Once we start downstream, there'll be opportunities to practice those and there'll also be plenty of opportunities to practice more advanced moves if you so choose. What to bring to the Lower Green: - Swim suit - towel - water shoes if you have them (neoprene booties are ideal) - lunch, which we'll eat before we put on - water Da Plan 9:00am: Meet at the Rabbit Hole (exit campus by the ""back"" gate by either the baseball field or the Timmons gate, then turn right onto Duncan Chapel Rd. Cross the Swamp Rabbit Trail and *immediately* turn left onto the driveway. It is totally adjacent to the Trail. Like the building's just 10' away from the asphalt of the trail) We'll get everyone fitted into boats & skirts, determine who's driving, load up and go. 9:45pm: start driving 11:00am: arrive at the Lower Green near Saluda, NC. Unload, run shuttle, have lunch, go over safety, learn strokes and techniques 12:00pm: eat lunch then put on and paddle to the 2nd bridge 4:00pm: get off river, load up, head home or out to eat 5:00pm: arrive home and pack everything back up neatly. If people are up for it, we can stop at a restaurant on the way home. To make sure we don't have more people than we have boats, make sure you RSVP."
Quidditch Tournament,Furman University Student Activities Board,2017-03-26T18:00:00+00:00,2017-03-26T20:00:00+00:00,No location specified,,Unknown,Channel your inner Harry Potter and come battle in FUSAB's Quidditch Tournament! Grab some friends and sign up in the FUSAB office in the Student Organization Commons! The rain location will be in the PAC gym.
A Day in Asheville,Furman University Student Activities Board,2017-03-25T11:00:00+00:00,2017-03-25T16:00:00+00:00,No location specified,,Unknown,"**DATES AND TIMES FOR THIS EVENT ARE TENTATIVE Enter to win a package trip for you and a couple friends to spend the morning in Asheville, NC in a hot air balloon and with a delicious brunch!"
Practice,Furman Women's Club Lacrosse,2016-04-04T20:30:00+00:00,2016-04-04T21:30:00+00:00,LOWER North Village Field,,Unknown,Practice Monday 4:30-5:30
Backpacking,Furman University Outdoor Club,2016-04-02T04:00:00+00:00,2016-04-03T04:00:00+00:00,No location specified,,Unknown,intro to camping by Kincy Gibson (kincy.gibson2@furman.edu)
Practice,Furman Women's Club Lacrosse,2016-03-30T21:30:00+00:00,2016-03-30T22:30:00+00:00,LOWER North Village Field,,Unknown,Wednesday 5:30-6:30
Practice,Furman Women's Club Lacrosse,2016-03-28T20:30:00+00:00,2016-03-28T21:30:00+00:00,LOWER North Village Field,,Unknown,Practice Monday 4:30-5:30
Practice,Furman Women's Club Lacrosse,2016-03-23T21:30:00+00:00,2016-03-23T22:30:00+00:00,LOWER North Village Field,,Unknown,Wednesday 5:30-6:30
Upright Citizens Brigade,Furman University Student Activities Board,2016-03-22T00:00:00+00:00,2016-03-22T01:30:00+00:00,Watkins Room,,Unknown,"Come watch Upright Citizens Brigade, a nationally recognized improv group, come perform on campus! Improv!able Cause (Furman's own Improv troupe) will be opening!"
Practice,Furman Women's Club Lacrosse,2016-03-21T20:30:00+00:00,2016-03-21T21:30:00+00:00,LOWER North Village Field,,Unknown,Practice Monday 4:30-5:30
Red Cross First Aid/CPR training,Furman University Outdoor Club,2016-03-20T18:00:00+00:00,2016-03-20T23:00:00+00:00,No location specified,,Unknown,We have 12 seats for the Red Cross's First Aid/CPR class: 1. Clayton Burton 2. Jack Horton 3. Kathleen Marsh 4. Noah Zimmerman 5. Brendan Lutz 6. Susie Wold 7. Brooks Dame 8. Maia Wellborn 9. Kincy Gibson 10. Julia Britt 11. Alex Aboutanos 12. Natalie Gallagher
Caving Scouting - CANCELED,Furman University Outdoor Club,2016-03-18T20:00:00+00:00,2016-03-19T07:00:00+00:00,No location specified,,Unknown,"Leaders-only trip heading over to Worleys Cave to freshen memories before leading the big trip there. Potentially, anyone is welcome, but you should either be a member of the FUOC leadership team or be a member willing to come on the actual trip and help out. Don't be shy! Night owls only! It'll be a fun, late night! Leaving campus at 4pm, getting back approx 10 hours later. Contact Clayton Burton and Susie Wold."
Trail Run CANCELLED due to weather,Furman University Outdoor Club,2016-03-19T04:00:00+00:00,2016-03-19T04:00:00+00:00,No location specified,,Unknown,by Miranda Upton & Kincy Adams
Paris Mt Hike & Swim,Furman University Outdoor Club,2015-09-12T04:00:00+00:00,2015-09-12T04:00:00+00:00,No location specified,,Unknown,Details TBD. See Will Lewis
Golden Dragons Acrobat Group,Furman University Student Activities Board,2015-09-10T23:30:00+00:00,2015-09-11T01:00:00+00:00,Timmons Arena,,Unknown,"Come out to this crazily entertaining event! It's FREE for Furman students and $10 for the public at the door. It'll be an hour and half of absolute jaw dropping excitement! AND it's CLP APPROVED, can it get any better than that?! Get pumped, get excited and spread the word so everyone can be amazed!"
Table Rock Hike,Furman University Outdoor Club,2015-09-05T04:00:00+00:00,2015-09-05T04:00:00+00:00,No location specified,,Unknown,TBD. See Brendan Lutz
Lower Green Whitewater Paddling Trip,Furman University Outdoor Club,2015-08-30T04:00:00+00:00,2015-08-30T04:00:00+00:00,"Meet @ Rabbit Hole. Destination: Green River, near Saluda, NC",,Unknown,"If the trip is full, email Clayton.Burton /at/ Furman with your ph# and I'll put you on the waiting list. If you have questions or need help finding the Rabbit Hole, call Clayton at 386-7582 The Lower Green is a perfect place to paddle whitewater for the first time. This trip will be good for all levels of paddlers. We'll start the day playing some games and learning basic, essential skills. Once we start downstream, there'll be opportunities to practice those and there'll also be plenty of opportunities to practice more advanced moves if you so choose. What to bring to the Lower Green: - Swim suit - towel - watershoes if you have them (neoprene booties are ideal) - lunch, which we'll eat before we put on - water Da Plan 12:30pm: Meet at the Rabbit Hole (exit campus by the ""back"" gate by either the baseball field or the Timmons gate, then turn right onto Duncan Chapel Rd. Cross the Swamp Rabbit Trail and *immediately* turn left onto the driveway. It is totally adjacent to the Trail. Like the building's just 10' away from the asphalt of the trail) We'll get everyone fitted into boats & skirts, determine who's driving, load up and go. 1:15pm: start driving 2pm: arrive at the Lower Green near Saluda, NC. Unload, run shuttle, have lunch, go over safety, learn strokes and techniques 3pm: put on and paddle to the 2nd bridge 7pm: get off river, load up, head home 8pm: arrive home and pack everything back up neatly. If people are up for it, we can stop at a restaurant on the way home. To make sure we don't have more people than we have boats, make sure you RSVP."
Heller Weekly Meeting,Heller Service Corps,2015-05-04T21:30:00+00:00,2015-05-04T22:30:00+00:00,McEachern,,Unknown,
The Furman Belles: Who run the world? Concert,Dintonation,2015-05-02T23:00:00+00:00,2015-05-03T00:00:00+00:00,Harper Hall,,Unknown,The Furman Belles Spring Concert
Heller Weekly Meeting,Heller Service Corps,2015-04-27T21:30:00+00:00,2015-04-27T22:30:00+00:00,McEachern,,Unknown,
Lower Green Whitewater Paddling Trip,Furman University Outdoor Club,2015-04-19T04:00:00+00:00,2015-04-19T04:00:00+00:00,"Meet @ Rabbit Hole. Destination: Green River, near Saluda, NC",,Unknown,"If the trip is full, email Clayton.Burton /at/ Furman with your ph# and I'll put you on the waiting list. If you have questions or need help finding the Rabbit Hole, call Clayton at 386-7582 The Lower Green is a perfect place to paddle whitewater for the first time. This trip will be good for all levels of paddlers. We'll start the day learning the most basic and essential skills. Once we start downstream, there'll be opportunities to practice those and there'll also be plenty of opportunities to practice more advanced moves if you so choose. What to bring to the Lower Green: - Swim suit - towel - watershoes if you have them (neoprene booties are ideal) - money to help drivers pay for gas - lunch, which we'll eat before we put on - water Da Plan 9am: Meet at the Rabbit Hole (exit campus by the ""back"" gate by either the baseball field or the Timmons gate, then turn right onto Duncan Chapel Rd. Cross the Swamp Rabbit Trail and *immediately* turn left onto the driveway. It is totally adjacent to the Trail. Like the building's just 10' away from the asphalt of the trail) We'll get everyone fitted into boats & skirts, determine who's driving, load up and go. 10am: start driving 11am: arrive at the Lower Green near Saluda, NC. Unload, run shuttle, have lunch, go over safety, learn strokes and techniques 1pm: put on and paddle to the 2nd bridge 5pm: get off river, load up, head home 6:30pm: arrive home and pack everything back up neatly. If people are up for it, we can stop at a restaurant on the way home. To make sure we don't have more people than we have boats, make sure you RSVP in OrgSync. And if you have a vehicle that can carry kayaks, let Clayton know!"
Heller Weekly Meeting,Heller Service Corps,2015-04-13T21:30:00+00:00,2015-04-13T22:30:00+00:00,McEachern,,Unknown,
FUSAB presents SAM HUNT Spring Concert,Furman University Student Activities Board,2015-04-09T23:00:00+00:00,2015-04-10T03:00:00+00:00,Timmons Arena,,Unknown,Student Tickets $5 Public Tickets $10
Movie: Mandela Long Walk to Freedom,Trone Student Center,2014-04-12T00:00:00+00:00,2014-04-12T02:00:00+00:00,Burgiss Theater,,Unknown,Trone Zone Movies are back! Check out our line up for the semester: January 17 & 18: About Time January 31 & February 1: Cool Runnings February 14 & 15: Catching Fire February 28 & March 1: Thor The Dark World March 21 & 22: Anchorman 2 March 28 & 29: Frozen April 11 &12: Mandela Long Walk to Freedom April 25 & 26: Saving Mr. Banks All movies are at 8pm in the Burgiss Theater - only $1 with your Furman ID!
FUSAB's Spring Concert!,Furman University Student Activities Board,2014-04-09T23:00:00+00:00,2014-04-10T03:00:00+00:00,Timmons Arena,,Unknown,"Announcement will be made soon, who will it be?!"
Wesley Weekly Mtg,Furman Wesley Fellowship,2014-04-08T23:45:00+00:00,2014-04-09T01:15:00+00:00,Garden Room of Daniel Chapel,,Unknown,"This is our weekly meeting in the Garden Room. There will be snacks, singing, and a discussion/devotion. In the craziness that is Furman, join us each week for a chance to slow down and focus on the Stories of our Faith."
National Philanthropy Concert,Sigma Alpha Iota,2014-04-07T23:00:00+00:00,2014-04-08T00:00:00+00:00,Daniel Recital Hall,,Unknown,
Furman Bands Concert,Sigma Alpha Iota,2014-04-05T00:00:00+00:00,2014-04-05T01:00:00+00:00,McAlister Auditorium,,Unknown,"Come support the many SAI Sisters in the Symphonic Band and Wind Ensemble, under the direction of Dr. Les Hicken (Friend of the Arts)."
Wesley Weekly Mtg,Furman Wesley Fellowship,2014-04-01T23:45:00+00:00,2014-04-02T01:15:00+00:00,Garden Room of Daniel Chapel,,Unknown,"This is our weekly meeting in the Garden Room. There will be snacks, singing, and a discussion/devotion. In the craziness that is Furman, join us each week for a chance to slow down and focus on the Stories of our Faith."
Spring Honors Recital,Sigma Alpha Iota,2014-04-02T00:00:00+00:00,2014-04-02T01:00:00+00:00,Daniel Recital Hall,,Unknown,
Formal!,Sigma Alpha Iota,2014-03-29T23:00:00+00:00,2014-03-30T03:00:00+00:00,"Westin, Downtown Greenville",,Unknown,
Movie: Frozen,Trone Student Center,2014-03-30T00:00:00+00:00,2014-03-30T02:00:00+00:00,Burgiss Theater,,Unknown,Trone Zone Movies are back! Check out our line up for the semester: January 17 & 18: About Time January 31 & February 1: Cool Runnings February 14 & 15: Catching Fire February 28 & March 1: Thor The Dark World March 21 & 22: Anchorman 2 March 28 & 29: Frozen April 11 &12: Mandela Long Walk to Freedom April 25 & 26: Saving Mr. Banks All movies are at 8pm in the Burgiss Theater - only $1 with your Furman ID!
Water Walk,Global Sustainability Club,2014-03-29T17:00:00+00:00,2014-03-29T21:00:00+00:00,Starting at the Trone Center,,Unknown,"We are hosting our third annual Water Walk on Saturday, March 29th from 1:00pm to 5:00pm. The walk around Swan Lake will begin at the lake side of the Trone Center with a ribbon cutting ceremony at 1:00pm. We are asking for a voluntary donation of $5.00 to participate in the Walk. Participants carry two gallons of water around Swan Lake to mimic what the average woman must do to get her water in the developing world. With hundreds of volunteers carrying water we will raise awareness that access to clean water demands our immediate attention. Donations collected will be used to fund a potable water system for the Sanik-Ya and Chitulul communities in Guatemala. Sanik-Ya and Chitulul are small Mayan villages on the outskirts of the municipality of San Lucas Tolimán in the State of Sololá, Guatemala. Furman has already raised more than $30,000 through the Walk but there is work to do yet! The total cost for the water project is estimated to cost $100,000. The Guatemalan non-profit organization, Agua del Pueblo, will manage the project. The Furman Water Walk is a student-led initiative created to educate and engage the campus community in addressing the challenges of clean water access in the developing world. History Since the annual Water Walk began in 2012, more than 600 students, faculty, staff and members of the local community walked at least one mile with at least two gallons of water. In 2011 and 2013 Furman students traveled to these communities on the Global Sustainability May Experience. Both groups have conducted research on the topics of sustainable development, water and economic inequality. Both student groups also invested manual labor in the potable water project. The 2011 group began the topographical survey of Sanik-Ya and Chitulul. The 2013 group got their hands dirty clearing the path for the water system. Stanford University is partnering with Furman in this effort by offering a sister course and cooperating on the project and resulting research. Furman students will collect data on the economic situation of the town while Stanford students will collect data on public health. How to Donate The Furman Alumni Association has set up this donation link: furmanwaterwalk.org. You can obtain more information about the organization managing the water project at http://peopleswater.org/ Why Walk? Furman students who participated in last year’s walk felt the largest benefit was the next day when she awoke to realize how many of her muscles ached. Women in the developing world have to do this every day! If we are successful, Furman students & faculty will soon have the opportunity to: -Use a living learning lab in the developing world; -Gather baseline data including economic development in the town; -Offer future study away courses to complete the design and construct the water system; -Evaluate the project in terms of: How the money was spent, and the impacts of potable water on the health and economic development The bottom line is that this is just one more example of the importance of engaged learning - one of our cornerstones. Our students will study the issues of provision of potable water in the “real world”. Students will be involved in every aspect of the project from the planning to the design to the construction to the evaluation. We could never duplicate those learning opportunities in the traditional classroom. More Information Agua del Pueblo (AdP), the non-profit managing the instillation of the water project, hosts and sponsors our May-X course on Global Sustainability in Guatemala. AdP does not solely provide potable water. AdP uses the potable water project as a springboard to encourage a more comprehensive community development. AdP has found the communities that build a water project in a participatory manner are more likely to subsequently build schools, clinics and other amenities to their villages. Our students researched the typical time that a woman in the developing world walks for water. Believe it or not, the average is one mile. Thus we asked water walkers to walk at least one mile. In the ""real"" developing world, women have to make multiple trips. Researching the amount of water used daily is a bit more challenging. The data are very sparse about the amount of water used. In general the further folks have to walk to obtain their water, the less they use. The World Health Organization (WHO) recommends 50 liters (13 gallons) per person per day. Folks without a piped water system use far less, again the WHO has found they use ten liters (2.6 gallons) /person/day. Assuming an average family size is six, and a typical size container (which they balance on their heads) of four gallons, a woman would have to make almost four trips per day! Thank you once again for all of your support . I look forward to seeing you on March 29th toting your gallons of water. Please let us know if you have any questions or if I can help in any way. Bruce Clemens"
Raffle: Furman vs. LSU tickets,Furman University Student Activities Board,2013-10-07T21:00:00+00:00,2013-10-07T22:00:00+00:00,"Paladen, Trone Student Center",,Unknown,"Do you want to see Furman take on LSU in Baton Rouge on October 26? FUSAB wants to send you! We will be raffling off 25 pairs of ticekts on September 30 at 5:30pm in the Paladen. Tickets will be $20/pair (pay only if you win - not to enter the raffle). Please note: We are NOT able to provide transportation or accommodations this year. We'll help you with your ticket, but the rest is up to you!"
Panhellenic Family Weekend Tailgate,Fraternity and Sorority Life,2013-10-05T15:00:00+00:00,2013-10-05T17:00:00+00:00,"Plyler Lawn, Furman Mall",,Unknown,"Panhellenic Council will be hosting a tailgate for the Family Weekend football game. We will be tailgating on Plyler Lawn, right on the Furman Mall. There will be Bucky's BBQ, desserts, and drinks. We will be selling tickets to freshman women and their families for $10/person the week of September 16th in the Trone Student Center. Pi Chis will be there to mingle! You can also have your parents mail a check made payable to Furman Panhellenic Council and mail it to: Furman Panhellenic Council, Trone Student Center, 3300 Poinsett Highway, Greenville SC 29613. If you have questions, please e-mail Danielle Bereznay at danielle.bereznay@furman.edu!"
"Home Football Game, Family Weekend! (Elon)",Sigma Alpha Iota,2013-10-05T04:00:00+00:00,2013-10-05T04:00:00+00:00,Furman University,,Unknown,It's Family Weekend!! Come support the many SAIs in the Paladin Regiment Marching Band under the direction of fellow SAIs Mr. Jay Bocook (National Arts Associate) and Dr. Les Hicken (Friend of the Arts)!
Marching Band Extravaganza,Sigma Alpha Iota,2013-10-05T00:00:00+00:00,2013-10-05T01:00:00+00:00,McAlister Auditoroium,,Unknown,Come support the many SAIs in the Paladin Regiment Marching Band under the direction of fellow SAIs Mr. Jay Bocook (National Arts Associate) and Dr. Les Hicken (Friend of the Arts)!
Brett Eldredge concert,Furman University Student Activities Board,2013-10-03T00:00:00+00:00,2013-10-03T03:00:00+00:00,Amphitheater,,Unknown,"FUSAB presents country artist BRETT ELDREDGE! Wednesday, October 2 at 8pm in the Furman Amphitheater (rain location is McAlister Auditorium). Tickets with valid Furman ID, available in the FUSAB office: $5 in advance $8 day of show Tickets for general public, available on Ticketmaster beginning September 6: $12 in advance $15 day of show Questions? Call 864-294-2068 or email fusab@furman.edu."
Wesley Fellowship Weekly Meeting,Furman Wesley Fellowship,2013-10-01T23:45:00+00:00,2013-10-02T01:15:00+00:00,Garden Room of Chapel,,Unknown,"This is our weekly meeting in the Garden Room. There will be snacks, singing, and a discussion/devotion. In the craziness that is Furman, join us each week for a chance to slow down and focus on the Stories of our Faith."
University Worship,Spiritual Life at Furman,2013-09-29T21:00:00+00:00,2013-09-29T22:00:00+00:00,Sanctuary of the Daniel Memorial Chapel,,Unknown,
Company presented by Pauper Players,Furman University Pauper Players,2013-09-29T18:00:00+00:00,2013-09-29T20:00:00+00:00,McAlister Auditorium,,Unknown,"Company is a musical comedy revolving around Bobby (a single man unable to commit fully to a steady relationship, let alone marriage), the five married couples who are his best friends, and his three girlfriends. Unlike most book musicals, which follow a clearly delineated plot, Company is a concept musical composed of short vignettes, presented in no particular chronological order, linked by a celebration for Bobby's 35th birthday. Seating is limited."
Dance Marathon (FUDM),Heller Service Corps,2013-09-28T16:00:00+00:00,2013-09-29T05:30:00+00:00,Timmons Arena,,Unknown,The Furman community will team up with the Greenville Hospital system to raise money for children battling disease. FUDM will enlist teams of students to dance through the night for this cause.
Company presented by Pauper Players,Furman University Pauper Players,2013-09-29T00:00:00+00:00,2013-09-29T02:00:00+00:00,McAlister Auditorium,,Unknown,"Company is a musical comedy revolving around Bobby (a single man unable to commit fully to a steady relationship, let alone marriage), the five married couples who are his best friends, and his three girlfriends. Unlike most book musicals, which follow a clearly delineated plot, Company is a concept musical composed of short vignettes, presented in no particular chronological order, linked by a celebration for Bobby's 35th birthday. Seating is limited."
10am-4pm,Writing & Media Lab,2013-06-19T04:00:00+00:00,2013-06-20T04:00:00+00:00,No location specified,,Unknown,The StudioLab's Summer Session hours are: Mon-Thurs: 10am-4pm Fri: 10am-2pm Sat & Sun: CLOSED
Stephanie Arani's Birthday,Delta Delta Delta,2013-06-20T04:00:00+00:00,2013-06-20T04:00:00+00:00,everywhere!,,Unknown,"HAPPY BIRTHDAY, STEPHANIE!!!"
10am-4pm,Writing & Media Lab,2013-06-18T04:00:00+00:00,2013-06-19T04:00:00+00:00,No location specified,,Unknown,The StudioLab's Summer Session hours are: Mon-Thurs: 10am-4pm Fri: 10am-2pm Sat & Sun: CLOSED
Summer Orientation Session 1,Orientation Staff,2013-06-17T04:00:00+00:00,2013-06-18T04:00:00+00:00,No location specified,,Unknown,
10am-4pm,Writing & Media Lab,2013-06-17T04:00:00+00:00,2013-06-18T04:00:00+00:00,No location specified,,Unknown,The StudioLab's Summer Session hours are: Mon-Thurs: 10am-4pm Fri: 10am-2pm Sat & Sun: CLOSED
10am-2pm,Writing & Media Lab,2013-06-14T04:00:00+00:00,2013-06-15T04:00:00+00:00,No location specified,,Unknown,The StudioLab's Summer Session hours are: Mon-Thurs: 10am-4pm Fri: 10am-2pm Sat & Sun: CLOSED
10am-4pm,Writing & Media Lab,2013-06-13T04:00:00+00:00,2013-06-14T04:00:00+00:00,No location specified,,Unknown,The StudioLab's Summer Session hours are: Mon-Thurs: 10am-4pm Fri: 10am-2pm Sat & Sun: CLOSED
