name,short_name,slug,status,visibility,category_names,description,summary
Furman Fanatics,,fanatics,Active,Public,Atheltics;Special Interest,"This idea came about with the future reopening of Timmons. As students, we want to see a more lively student section at these games, and the best way to do that is to lead by example. Additionally, we hope to work with the Athletics Department about finding ways to get students to show up to sports events that may see less student attendance, like tennis or lacrosse. We believe these teams should still be supported by their campus. As of now, there is no official organization on campus seeking to accomplish these tasks, and we want to fill that gap.","This club will serve as an official student ""spirit"" section. The goal of the group is to increase student attendance and participation at all Furman sporting events. We want to improve the atmosphere and student involvement at these events."
Furman GirlsWhoCode College Loop,FUGWC,fu_girlswhocode,Active,Public,Academic;Diversity and Inclusion;Special Interest,"Furman GirlsWhoCode Club meets weekly to learn new coding languages, practice our coding skills, go on field trips to places like Paris Mountain or Sidewall Pizza and play strategic card and board games together. We are very laid back and are open to women of all experience levels (including none!).","Furman GirlsWhoCode seeks to encourage women of all areas of study to learn how to code, practice coding, and have a community where being a woman who is smart, and capable of STEM is accepted and appreciated."
Furman Justice Forum,FJF,furmanjusticeforum,Active,Public,Academic;Diversity and Inclusion;Political;Programmatic,"Furman Justice Forum (FJF) is a place of advocacy, community, and education. FJF creates a space for students to learn about social injustices, to reflect upon these issues, and to learn skills needed to take action in their communities. We sponsor programming and CLPs where students are able to discuss social justice issues and connect with prominent scholars and activists whose work focuses on social justice. These events give students an opportunity to understand relevant issues and to learn skills required to make meaningful and positive change in their own communities.",To raise awareness about issues concerning social justice both on Furman's Campus and broadly while simultaneously providing community on campus and empowering students to create meaningful change.
Furman Kpop Club,Kpop Club,kpop-club,Active,Public,Special Interest,"Furman Kpop Club is a organization that brings together those who want to appreciate Korean culture. During club we will listen to Korean music, watch Korean films, make Korean cuisine, and attend dance rehearsals with other members to practice dances.","Furman Kpop Club is a organization that brings together those who want to appreciate Korean culture. During club we will listen to Korean music, watch Korean films, make Korean cuisine, and attend dance rehearsals with other members to practice dances."
Furman Marching Arts,,furman-bands,Active,Public,Atheltics;Club Sports;Media;Fine Arts,,"Welcome to the Furman Marching Arts, where our main goal is to provide a space where students are able to improve on spinning, dancing, twirling, and technique required. Open to all levels of experience, or lack thereof! Welcome to all!"
Furman Men's Club Lacrosse,CL,furman-men-s-club-lacrosse,Active,Public,Atheltics;Club Sports,"The Furman Club Lacrosse Team is an official club sport that competes in the NCLL (National Club Lacrosse League) Deep South Conference. We are a highly competitive group of individuals who love the game of lacrosse, and do all we can to make playing fun and enjoyable. Club lacrosse practices two times a week, and will play 5-6 games throughout the course of the year.","The Furman Club Lacrosse Team is an official club sport that competes in the NCLL (National Club Lacrosse League) Deep South Conference. We are a highly competitive group of individuals who love the game of lacrosse, and do all we can to make playing f..."
Furman Men's Club Soccer,FUMCS,men-s-club-soccer,Active,Public,Atheltics;Club Sports,The Furman Men's Club Soccer team travels around the southeastern United States competing against other collegiate club soccer programs. The team holds tryouts each fall semester and has both a fall and a spring season.,The Furman Men's Club Soccer team travels around the southeastern United States competing against other collegiate club soccer programs. The team holds tryouts each fall semester and has both a fall and a spring season.
Furman Men's Club Volleyball,FUMCV,furmanmcv,Active,Public,Atheltics;Club Sports,Men's Club Volleyball was founded in 2008 to allow male athletes to participate in a more competitive volleyball atmosphere. This year (2025-2026) our goal is to represent Furman with pride and team building not only by hosting tournaments but also by travelling to other schools to play some volleyball and create lifelong memories!,"Men's Club Volleyball is a space where guys can share experiences, relationships, and community on and off the volleyball court."
Furman Percussion Club,FPC,furman-percussion-club,Active,Public,Academic;Fine Arts,"The Furman Percussion Club has two major performances throughout the year, competes in national percussion competitions and participates in music festivals around the country. We host notable artists who specialize in new music for percussion.","The Furman Percussion Club has two major performances throughout the year, competes in national percussion competitions, and participates in music festivals around the country. We host notable artists who specialize in new music for percussion."
Furman Pre-Veterinary Club,Furman Pre-Vet Club,none,Active,Public,Academic;Community Service;Special Interest,"The Furman Pre-Veterinary Club provides exposure to various aspects of veterinary medicine through guest speakers, hands-on experiences, and community service opportunities. All animal lovers are welcome!","The Furman Pre-Veterinary Club provides exposure to various aspects of veterinary medicine through guest speakers, hands-on experiences, and community service opportunities. All animal lovers are welcome!"
Furman Pride Alliance,FPA,furman-pride-alliance,Active,Public,Diversity and Inclusion;Student Diversity Council Organizations,"The Furman Pride Alliance is a safe space for LGBTQIA+ students. Members can connect with other students, participate in queer events, and feel comfortable expressing themselves. Another focus of FPA is activism and education. All LGBTQIA+ people and allies are welcome!","The Furman Pride Alliance is a safe space for LGBTQIA+ students. Members can connect with other students, participate in queer events, and feel comfortable expressing themselves."
Furman Purple Diamonds,PD,purplediamonds,Active,Public,Atheltics;Diversity and Inclusion,"The purpose of the Furman University Purple Diamonds Majorette Dance Team is to create an atmosphere that promotes school spirit, provides entertainment at events, and represents the school and community at Furman University's athletic and student activities. The mission is to provide dancers with a successful and meaningful experience in a positive and healthy environment. Team members work towards maintaining high academic achievement, increasing their dance ability, positive sportsmanship, effective time management, and forming strong friendships. The success of this team is due to a strong commitment from the dancers and coaching staff. The dancers will always exhibit impeccable sportsmanship and positive attitudes toward team members, competitors, and the university staff.","The Purple Diamonds are a Majorette dance team that aims to create an atmosphere that promotes school spirits, provides entertainment at events, and represents the school and community at Furman University's athletic and student activities."
Furman SCUBA Club,FUSCUBA,fuscuba,Active,Public,Special Interest,"Furman SCUBA Club (FUSCUBA) is the perfect place for students interested in exploring the underwater world! Whether you're a certified diver or just curious about SCUBA, FUSCUBA offers opportunities to learn about diving, meet like-minded adventurers, and potentially embark on exciting dive trips. Join us to connect with others who share a passion for the ocean and discover the incredible experiences that SCUBA diving has to offer!","FUSCUBA brings together students interested in SCUBA diving to learn, explore and connect."
Furman Spikeball Club,FSC,furman-spikeball-club,Active,Public,Atheltics,"The purpose of Spikeball Club is to provide an environment to foster relationships, promote physical activity, and to cultivate the Furman student experience through the game of spikeball.","The purpose of Spikeball Club is to provide an environment to foster relationships, promote physical activity, and to cultivate the Furman student experience through the game of spikeball."
Furman Staff,Furman Staff,furman-staff,Active,Public,,,
Furman Triathlon Club,Tri Club,furman-triathlon-club,Active,Public,Atheltics,Furman University Triathlon Club Swim. Bike. Run.,Swim. Bike. Run.
Furman Trumpet Society,,furman_trumpet_society,Active,Public,Diversity and Inclusion;Fine Arts,,The Furman University Trumpet Society creates events and opportunities of musical and social enrichment for Furman students regardless of major as well as for alumni of Furman University from around the world.
